,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
95,48,10,5,3,2,2,20,20,1,0.9276013374328612,0.0003542900085449,0.000270128250122
96,49,10,5,4,2,2,19,17,1,0.8257348537445068,0.0004985332489013,0.0002579689025878
97,49,10,5,3,2,2,20,20,1,0.6859934329986572,0.0003588199615478,0.00026535987854
98,50,10,5,4,2,2,29,52,1024,0.7308108806610107,0.0004081726074218,0.0340886116027832
99,50,10,5,3,2,2,30,60,1024,0.8722741603851318,0.0003819465637207,0.1009342670440673
100,51,10,5,4,2,2,29,52,1024,0.6946120262145996,0.0003566741943359,0.0302133560180664
101,51,10,5,3,2,2,30,60,1024,0.746755838394165,0.0004570484161376,0.1003293991088867
102,52,10,5,4,2,2,38,68,1024,0.8429422378540039,0.0005028247833251,0.0408322811126709
103,52,10,5,3,2,2,40,80,1024,0.9065558910369872,0.0003931522369384,0.1733765602111816
104,53,10,5,4,2,2,49,149,184318,1.3512208461761477,0.0004889965057373,6.906201601028442
105,53,10,5,3,2,2,50,170,154451,1.2909579277038574,0.0003960132598876,27.79797387123108
106,54,10,5,4,2,2,38,68,1024,1.1345598697662354,0.0004549026489257,0.0415360927581787
107,54,10,5,3,2,2,40,80,1024,1.2004623413085938,0.0003750324249267,0.18023681640625
108,55,10,5,4,2,2,19,17,1,0.8582420349121094,0.0003330707550048,0.000171422958374
109,55,10,5,3,2,2,20,20,1,0.9420876502990724,0.0005366802215576,0.0004310607910156
110,56,10,5,4,2,2,19,17,1,0.8680217266082764,0.0004999637603759,0.0002799034118652
111,56,10,5,3,2,2,20,20,1,0.8905317783355713,0.0004966259002685,0.0003743171691894
112,57,10,5,4,2,2,28,25,1,0.9945724010467528,0.0005111694335937,0.0003340244293212
113,57,10,5,3,2,2,30,30,1,1.067401885986328,0.0004308223724365,0.0005383491516113
114,58,10,5,4,2,2,19,17,1,0.8472080230712891,0.0004744529724121,0.0002496242523193
115,58,10,5,3,2,2,20,20,1,0.8954508304595947,0.000413179397583,0.0002777576446533
116,59,10,5,4,2,2,48,112,17711,1.2844417095184326,0.000453233718872,0.6908571720123291
