,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
148,75,10,5,4,2,2,28,25,1,0.7113542556762695,0.00033164024353027344,0.00021505355834960938
149,75,10,5,3,2,2,30,30,1,0.6882071495056152,0.00028634071350097656,0.0004391670227050781
150,76,10,5,4,2,2,19,17,1,0.673591136932373,0.00034737586975097656,0.0001766681671142578
151,76,10,5,3,2,2,20,20,1,1.011099100112915,0.00035452842712402344,0.0002779960632324219
152,77,10,5,4,2,2,19,17,1,0.7289276123046875,0.0003638267517089844,0.0001811981201171875
153,77,10,5,3,2,2,20,20,1,0.7180414199829102,0.0003197193145751953,0.00025200843811035156
154,78,10,5,4,2,2,19,17,1,0.6827681064605713,0.0003414154052734375,0.0001850128173828125
155,78,10,5,3,2,2,20,20,1,0.9933531284332275,0.0003845691680908203,0.00027251243591308594
156,79,10,5,4,2,2,38,68,1024,1.310349464416504,0.0002818107604980469,0.03191947937011719
157,79,10,5,3,2,2,40,80,1024,0.9509637355804443,0.0005939006805419922,0.20931625366210938
158,80,10,5,4,2,2,19,17,1,0.6480393409729004,0.00028824806213378906,0.00014543533325195312
159,80,10,5,3,2,2,20,20,1,0.6785457134246826,0.00033020973205566406,0.000244140625
160,81,10,5,4,2,2,58,104,2048,1.1611378192901611,0.00030350685119628906,0.13655638694763184
161,81,10,5,3,2,2,60,120,1024,1.171311616897583,0.0004029273986816406,0.35767579078674316
162,82,10,5,4,2,2,19,17,1,0.6078877449035645,0.00023508071899414062,0.00013756752014160156
163,82,10,5,3,2,2,20,20,1,0.5509068965911865,0.0003147125244140625,0.00023102760314941406
164,83,10,5,4,2,2,29,26,2,0.7936925888061523,0.0004124641418457031,0.00039124488830566406
165,83,10,5,3,2,2,30,30,1,0.8322551250457764,0.00045943260192871094,0.0004267692565917969
166,84,10,5,4,2,2,19,17,1,0.7610774040222168,0.00031256675720214844,0.00017571449279785156
167,84,10,5,3,2,2,20,20,1,1.0147724151611328,0.00036334991455078125,0.0002827644348144531
168,85,10,5,4,2,2,29,52,1024,0.7948930263519287,0.0004012584686279297,0.036656856536865234
169,85,10,5,3,2,2,30,60,1024,0.8467862606048584,0.0003745555877685547,0.10227203369140625
170,86,10,5,4,2,2,58,104,2048,1.0299367904663086,0.00041174888610839844,0.11093831062316895
171,86,10,5,3,2,2,60,120,1024,1.0625696182250977,0.0004930496215820312,0.5616228580474854
172,87,10,5,4,2,2,19,17,1,0.7229351997375488,0.0003287792205810547,0.00017762184143066406
173,87,10,5,3,2,2,20,20,1,0.7513906955718994,0.0004067420959472656,0.0002803802490234375
174,88,10,5,4,2,2,29,52,1024,0.7865605354309082,0.0002830028533935547,0.0280458927154541
175,88,10,5,3,2,2,30,60,1024,0.8781766891479492,0.0003342628479003906,0.10372066497802734
176,89,10,5,4,2,2,38,68,1024,0.9050493240356445,0.0002586841583251953,0.03617501258850098
177,89,10,5,3,2,2,40,80,1024,0.9539501667022705,0.0003540515899658203,0.14675211906433105
178,90,10,5,4,2,2,19,17,1,0.6925668716430664,0.0004756450653076172,0.0002574920654296875
